11.27 18:00
直播QQ群334597477QQ群197853033,#genre#
翡翠台,tvbus://4d3SqDabh2a6UV4qgbN4tRUZmSYF7rXws7b9LY1gpy39dDU2nK
无线新闻台,tvbus://3evy6CsmpNykm7tDRnZJhVhUHToPpEGnGyREkE2Yu8X3EPgnPx
Now 新闻台,tvbus://4VDtZGrPTbAiPGNG5hjua2hM925H5nWvDwyP6w7SiB3Y7WqDiX
CN卡通,tvbus://3awwyYtNCtisF8RuuGv7A8vwTGg5uVWQGRnHYt68unfNhHQb44
CBeebies,tvbus://4BeNXMvoM7E9KXfwCanwTuYPC6pu2j7PkGzwCDZXmpx8bQ7q7s
Cartoonito,tvbus://4DrQ584nsRYws1c2TKKKubmGbLYrFHRkpi6QvoV6FDhscpNKd2
Nickelodeon,tvbus://3C3K3d4pNQtA2nZnnC5sBQzuWDbJv9nvvktp1wSQ6xCvrHEjjP
MOMO亲子台,tvbus://3VV3Zk3KWmeWJH5dE88FmZKeuBp8jzx6sENZSLCeThtubfoNfm
东森幼幼台,tvbus://4Luy2FdfRBuCdPZxkCJYiQRgrkHsk1WNiGUKujHnDt7qWH2CMG
纬来电影台,tvbus://43HRfpwoSWhpLQmA6MWVaZ1xr4hnKxzaPbSa4oiM95k5Y1Lpkj
东森电影台,tvbus://348orevWcpLkbQKQrQxJRQzVFZ7CrFfXtaxKC8FVoi9npVE6Tj
星卫HD电影,tvbus://34zdvA13ZUfU6nWZ3TZXoz9AxorzkDGPoAEqtWgyiXKsJRK7oD
三立台湾台,tvbus://4H644KqrJqg4wErjcJ3Xm86t9wugo4rJBgB3yqy2F9tE9dTg2Y
纬来体育台,tvbus://3ScW5ud52kLRbUrHFq3aoYLdcW7gmo6iNgn5CGNUaGWsX8H6Aj
Now Sports 英超1台,tvbus://4DQGv5RpdrKn2CkMqR3Muk5PFyu2bH3GtdNWd7Vhc2CyHqzS9s
Now Sports 西甲2台,tvbus://4RtQthJJhrCDyzXjZZgnUmxabYMfxkWLoSQaLL7m8gMfiLhH2v
Astro sport1,tvbus://3FzbCkmJiynjGjTeXVF5GX3pKxnCNfxND8fwDmFASidLuUfDA1
Astro sport2,tvbus://3PHiG1kFS6VzLYTcQUywBkZ6xxUTzujTvzdzu8uVvN2Ud2aixq
Astro sport3,tvbus://34LpcoDN6YFeCkcKjidEa8mEq9Qq4vqWQA2henReAtzyZo8th7
Astro sport4,tvbus://4RFN772zTMwFpZvjEzt3Df5Te3QPbePC9p18isqEsXPGjqBPBW
Sky Sports F1,tvbus://3cuTcjMXRpu79A6oMyPGQcxFg3Zxun9wLsGWWYcx4VpWUciVoB
Sky Sports NFL,tvbus://3zSZPNP1cpp9A9bA3SYYFAWkdvou8Zb5f98m7BxnjFVDCXn6So
Sky Sports Mix,tvbus://4dgZvs9FNHC3pmd8YnEi7GyUYQhq3WTXB9q67LzLkfcJyGQXPV
Sky Sports Golf,tvbus://4EHjGTwMzJDWgAFGYYAttrkkPPHp3CpqzpMwHixD2vQLvaw2Ea
Sky Sports News,tvbus://2wvykSrcG6BjDZzz53br9cvvgeX4eSrc1mA2Mays8rrMtotKuw
Sky Sports Arena,tvbus://3zC4inRhVgJHAsTzZeSjE2nAn1ivXTYD9wpkZPfvw8pGcanH9t
Sky Sports Racing,tvbus://43J4BTsg8zeWCYcFXXRGJ593P8tHX5MANdH9WH5XaGywq3zVXt
Sky Sports Cricket,tvbus://3otHguMghHJYa7QdUMcs5JkGbYmbKWA8tL5XpmxZTtkVZ62xqN
Sky Sports Football,tvbus://3sAjt3v4dCWw4Mo4zB7KH2TdeMX1Z6A2rG1LdBJxdy3g6eayEg
Sky Sports Main Event,tvbus://3QMHnqkCFFUp33Jts963s3Bptx5SPcyveBfo2pQQyy7uYgN2yh
Sky Sports Premier League,tvbus://4ppu3LJ2GymfsJKbXxTEKufhCngafb7Uk3hHwaBQBzcasq5mkE
博斯无限台,tvbus://4LdJHPShwcdFpoCFkBWpfyjE4Sfam6WuTDUkBVeTG1ihaQMDpH
ELTA体育1台,tvbus://4QDBFfLbnjJdoxbc7ZqW8Ssc2jwoLbQPLDS55tqXQnCQEERHbw
ELTA体育2台,tvbus://4miUK2SiFdeyUG3detwN8X7qhzL4wvJeNd5bvkg9CWLeYZjP2d
ELTA体育3台,tvbus://48dzHwkYta7JJNEFTQejMSuWXi88Taf2q3b6SUPcZmXeZjqUnv
ELTA体育4台,tvbus://4ssNUJwejFvjkosWzvx48AtyGNmQ9AS8oJnvaeu9fxcNE6v8Mv
镜__新闻台,tvbus://4Fy11NHufGpbNFxUVRfU9dLwF9aoLCFtZMkBwcNdM2Xfn8D9s2
台视新闻台,tvbus://3FrEoPYHD8a3qmU6gyRqsXLrAhqKbTL9L5VfAMU1Cm1KbRi2UT
中视新闻台,tvbus://3GhBHADDzxQoGe48TALBuBzEQ5QnmwnsedBZLLRUTUoEGjzjBf
民视新闻台,tvbus://4fkVA3fKkiGYfufmQ8CBki5jVmSdxf45Yk29PXdDaZf27uLJMc
东森新闻台,tvbus://3axQp2q6k8BWbmfzH7q9FEpaZTennC7eKfouvat7wrFxfu5kES
中天新闻台,tvbus://2z8mkJLwLddTaNVrZYXzW5iTNRZjtWpCco7AF96PEUce5rkEva
中天新闻二,tvbus://3gZwNpAFXpqAC4R824sLgXRKDYmsLbmptR8Rhsw2weZhMQQEmd
中天亚洲台,tvbus://3ggm9Vc9FBGDb1vaoRKBudGcHsRCsCqxY4FK62Xcqme8i6kRWR
寰宇新闻台,tvbus://3vRrZL4okgTs1Jy91SzRBficqeCZuRwjdcZPqndBL5UYw1YNor
亚洲新闻台,tvbus://42EcCJDpKkgGeANRTHHf92RiG9zqPFKeudGJUtXki5DaJFNj3A
凤凰中文台,tvbus://4eo36T1aYocFEbbKgJE69a4MUdmVg6usyfamgxVUDmxUbwzvFa
凤凰资讯台,tvbus://4nsBj7PY12TUvtsdvUUdxMEwabpYo5v3WqhW13YSkFny9v1Ycs
寰宇新闻台湾台,tvbus://2zjhviTkR5hQ3k5TWh759EGnJEDryP18mFMDqvmp9XmTVi9JmK
RT,tvbus://3cwLz9kFVTJpR5rbcji4Gw8pNRehjmccdkZ95QJDMYTJ27PGWz
DW,tvbus://3ttekTRS5ejuVnAPfaqXMssBVpf4hhRv433DviHKr6nnb4dnRy
Sky news,tvbus://4CDxyuv36HrLBmHL9ZWpRos5Twf583nVnhxH9MwGQNUUPgfk4P
ABC News,tvbus://4mEBu1qDvnx17Nd8thxXjESnCcPuhjvGzetvvNHYkMZuUX5kCF
Bloomberg,tvbus://3uRXEWfSCBiZNskuLmWD6MFcwmSFU563dNiKXhCr4PTVRrpWt2
Россия-24,tvbus://3cXV7Ye4UGmQu9Zq6MYN4sRjx29E79SVhxjBAb4SJeVkByaVtq
FRANCE 24,tvbus://3LBb9S1XpqRTgLemJoUwRqrJfz6sNnTM6eTZxjhF6856yvmt3f
Euronews,tvbus://3am6JLJ1skF5EeicmtXAYJW82x8ZKs6r6Bugn3WAHmtHpgZLaS
Al Jazeera,tvbus://3Qm6aeFQTHkwJEuTCnNdz9cwfXgkdUSYPCNFtwLYtR3k6fUoNP
华藏卫视,tvbus://4gtmvBfKYSvtk3eDxzJeB2PtuWTXneBrSqro3ccmueGvgwnuFg
大爱一台,tvbus://44Jfzxh5CtPs11bX8rNULecriUZCunuSEkwPXaGHbbWqxmHRay
World Fashion,tvbus://4Z15e3GvqLfPgQaj9L15zDxxSQdW2VH1x3pkAW4qQbyEDVTdeR
FashionBox,tvbus://3ftYnAo8ywgwnQAr3vSFGJz6ntoBtiPH898TA7V1CuT544B66k

